unit_2021,labels
"10717",Non-Significant
"15867",Non-Significant
"6136",LH
"97846",HH
"12091",LH
"8671",Non-Significant
"24200",Non-Significant
"17459",Non-Significant
"7220",Non-Significant
"43871",Non-Significant
"66534",Non-Significant
"116350",Non-Significant
"34558",LH
"73585",HH
"92909",HH
"25291",Non-Significant
"79762",Non-Significant
"96676",HH
"50694",Non-Significant
"47284",Non-Significant
"22284",Non-Significant
"0",Non-Significant
"26474",Non-Significant
"21191",Non-Significant
"15959",Non-Significant
"58149",HH
"72946",Non-Significant
"0",LH
"44991",HH
"39512",Non-Significant
"51953",HH
"43090",Non-Significant
"0",LL
"12584",LL
"13555",LL
"0",LL
"16283",LL
"19484",LL
"23546",LL
"41309",HH
"58949",Non-Significant
"8742",LH
"40493",Non-Significant
"51118",Non-Significant
"21426",Non-Significant
"155534",HH
"46514",HH
"108543",HH
"18903",LL
"23759",LL
"2663",LL
"23518",Non-Significant
"34044",Non-Significant
"28810",Non-Significant
"11322",Non-Significant
"31021",Non-Significant
"77934",Non-Significant
"22131",LL
"22152",LL
"16573",LL
"31284",Non-Significant
"18793",LL
"97812",HH
"64403",HH
"11887",Non-Significant
"80522",Non-Significant
"49902",HH
"79767",HH
"92025",HH
"74476",HH
"25789",Non-Significant
"38648",Non-Significant
"95779",HH
"64164",HH
"96256",Non-Significant
"24171",Non-Significant
"55853",Non-Significant
"23027",Non-Significant
"35465",Non-Significant
"35255",Non-Significant
"22289",Non-Significant
"0",LH
"20525",LH
"17172",Non-Significant
"86301",HH
"123361",HH
"16922",Non-Significant
"20850",LL
"32601",Non-Significant
"39876",LH
"34159",Non-Significant
"31548",Non-Significant
"27884",LL
"14936",Non-Significant
"72544",Non-Significant
"23285",Non-Significant
"9106",Non-Significant
"89677",HH
"2881",Non-Significant
"23979",Non-Significant
"32568",Non-Significant
"50717",Non-Significant
"8436",LL
"21537",LL
"65744",HH
"51920",Non-Significant
"42973",HH
"47907",Non-Significant
"39584",Non-Significant
"33571",LL
"23715",LL
